Rank,player_name,nation,position,Assists,Attempts On Target,Attempts At Goal,Attempts At Goal Conv. Rate (%),Attempts Inside the Penalty Area,Attempts Outside the Penalty Area,Headed Attempts at Goal,xG,xG Efficiency,Corners,goal_xg_ratio
1,Michael Olise,FRA,FW,7,5,20,0.0,10,10,0,2.34,0x,25,0.0
2,Martin Odegaard,NOR,MF,4,3,9,0.0,5,4,0,0.72,0x,12,0.0
2,Kylian Mbappe,FRA,FW,4,23,41,24.0,27,14,0,6.54,1.53x,5,1.53
2,Brahim Diaz,MAR,FW,4,1,6,0.0,4,2,0,0.31,0x,1,0.0
2,Bruno Guimaraes,BRA,MF,4,2,8,0.0,5,3,1,1.02,0x,8,0.0
2,Lionel Messi,ARG,FW,4,19,35,23.0,16,19,0,6.18,1.29x,38,1.29
7,Roberto Alvarado,MEX,FW,3,0,5,0.0,2,3,0,0.28,0x,14,0.0
7,Anthony Gordon,ENG,FW,3,4,6,17.0,6,0,2,0.7,1.43x,0,1.43
7,Florian Wirtz,GER,MF,3,1,10,0.0,5,5,0,0.97,0x,5,0.0
7,Andreas Schjelderup,NOR,MF,3,2,3,33.0,3,0,0,0.2,5.12x,0,5.12
7,Bukayo Saka,ENG,FW,3,7,13,23.0,11,2,1,1.72,1.74x,5,1.74
7,Alexander Isak,SWE,FW,3,6,8,13.0,5,3,1,0.68,1.48x,0,1.48
13,Chris Wood,NZL,FW,2,2,5,0.0,3,2,2,0.47,0x,0,0.0
13,Johan Manzambi,SUI,MF,2,3,6,50.0,4,2,0,0.63,4.73x,0,4.73
